symptoms,department
"constipation, diarrhea, stomach cramps, nausea",Gastroenterologist
"dizziness, low grade fever, chills",General Physician
"vertigo, tonsillitis, ear discharge",ENT
"skin allergy, itching, pigmentation",Dermatologist
"bleeding gums, toothache",Dentist
"hip pain, bone pain, shoulder pain",Orthopedic
"ear pain, child wheezing, baby vomiting",Pediatrician
"loss of appetite, gas, heartburn, constipation",Gastroenterologist
"itching, psoriasis, skin allergy",Dermatologist
"fracture, wrist injury, lower back pain radiating",Orthopedic
"child sore throat, dehydration, blocked nose",Pediatrician
"muscle strain, sprain, joint pain",Orthopedic
"throat infection, sinus pain",ENT
"abdominal swelling, persistent hoarseness, unexplained weight loss, blood in stool",Oncologist
"blocked nose, runny nose, loss of voice",ENT
"hip pain, sprain",Orthopedic
"swollen lymph nodes, blood in cough, persistent bone pain",Oncologist
"difficulty walking, fracture",Orthopedic
"sore throat, cough",General Physician
"vaginal infection, itching, white discharge",Gynecologist
"migraine, tremor, neck pain radiating",Neurologist
"bleeding while brushing, broken tooth",Dentist
"hallucinations, mood swings, hopelessness",Psychiatrist
"dry skin, eczema, psoriasis",Dermatologist
"postpartum bleeding, pregnancy nausea, painful periods",Gynecologist
"missed period, irregular periods",Gynecologist
"eye strain headache, night vision problem, red eye",Ophthalmologist
"heavy bleeding, vaginal infection",Gynecologist
"severe headache, one sided weakness, numbness, blurred vision with headache",Neurologist
"difficulty swallowing, swollen lymph nodes, unexplained weight loss, persistent fatigue",Oncologist
"breast lump, persistent bone pain, blood in cough",Oncologist
"cold, headache, sore throat, fever",General Physician
"redness, acne, pigmentation, psoriasis",Dermatologist
"redness, skin rash, boils, dandruff",Dermatologist
"blurred vision with headache, tremor, numbness",Neurologist
"knee pain, muscle strain",Orthopedic
"abdominal swelling, blood in stool, swollen lymph nodes",Oncologist
"vomiting, indigestion, heartburn, acidity",Gastroenterologist
"toothache, tooth pain with headache",Dentist
"ear pain, dehydration, vaccination query, newborn feeding issue",Pediatrician
"back pain near kidneys, kidney stone pain, frequent urination",Urologist
"anger issues, mood swings, panic attacks",Psychiatrist
"missed period, spotting, period cramps",Gynecologist
"dizziness, high blood pressure",Cardiologist
"hives, hair fall, redness",Dermatologist
"urine infection, testicular swelling, frequent urination",Urologist
"pcos symptoms, postpartum bleeding, breast tenderness, white discharge",Gynecologist
"depressed mood, addiction",Psychiatrist
"migraine, severe headache, tremor, neck pain radiating",Neurologist
"stomach cramps, indigestion, food poisoning",Gastroenterologist
"dizziness, weakness, flu",General Physician
"confusion, fainting",Neurologist
"high blood pressure, fainting",Cardiologist
"child sore throat, blocked nose, rash with fever, diarrhea",Pediatrician
"constipation, vomiting, loss of appetite",Gastroenterologist
"anger issues, stress, social anxiety",Psychiatrist
"ear pain, child fever",Pediatrician
"seizure, tremor, balance problem",Neurologist
"postpartum bleeding, irregular periods, pcos symptoms",Gynecologist
"foreign body sensation, dry eyes, sensitivity to light",Ophthalmologist
"testicular swelling, night urination, difficulty starting urination, urine infection",Urologist
"bone pain, swelling, hip pain",Orthopedic
"flu, chills",General Physician
"itchy eyes, swollen eyelid",Ophthalmologist
"sore throat, sinus pain, ear discharge, allergic rhinitis",ENT
"child sore throat, ear pain, child wheezing",Pediatrician
"blocked nose, swollen neck glands, vertigo",ENT
"blurred vision with headache, fainting, balance problem",Neurologist
"dizziness, neck pain radiating, tremor",Neurologist
"ear discharge, nose bleeding, ear pain, tonsillitis",ENT
"cold, body ache, weakness",General Physician
"cough, loss of appetite, chills",General Physician
"arthritis, sprain, bone pain",Orthopedic
"hearing loss, throat infection, sore throat",ENT
"shortness of breath, high blood pressure, sweating, chest tightness",Cardiologist
"wisdom tooth pain, pain while chewing, bad breath",Dentist
"tonsillitis, vertigo, ringing in ear",ENT
"blocked nose, ear pain, loss of voice",ENT
"cold, headache, mild fever",General Physician
"itching, hair fall",Dermatologist
"stress, panic attacks, suicidal thoughts, mood swings",Psychiatrist
"postpartum bleeding, pelvic pain, heavy bleeding",Gynecologist
"wisdom tooth pain, pain while chewing, mouth ulcer",Dentist
"blurred vision, itchy eyes",Ophthalmologist
"throat infection, tonsillitis, sore throat",ENT
"weakness, flu, cough, dizziness",General Physician
"hip pain, knee pain, lower back pain radiating",Orthopedic
"eczema, acne, dry skin",Dermatologist
"red eye, eye discharge, swollen eyelid",Ophthalmologist
"sore throat, body ache, fever",General Physician
"jaw pain, toothache, wisdom tooth pain",Dentist
"redness, dandruff",Dermatologist
"eczema, itching",Dermatologist
"pelvic pain, pcos symptoms, spotting, pregnancy nausea",Gynecologist
"chest pain, left arm pain, rapid heartbeat, leg swelling",Cardiologist
"difficulty swallowing, persistent fatigue, unusual bleeding",Oncologist
"blurred vision with headache, tremor, severe headache",Neurologist
"nausea, food poisoning, jaundice, stomach cramps",Gastroenterologist
"abdominal swelling, persistent hoarseness, blood in stool, loss of appetite",Oncologist
"postpartum bleeding, pcos symptoms, breast tenderness",Gynecologist
"fracture, back pain, bone pain",Orthopedic
"blood in stool, unusual bleeding, night sweats",Oncologist
"runny nose, vertigo",ENT
"itching, breast tenderness",Gynecologist
"persistent cough, breast lump, non healing ulcer",Oncologist
"frequent urination, urine infection",Urologist
"tooth pain with headache, mouth ulcer",Dentist
"blood in cough, blood in stool, persistent fatigue",Oncologist
"difficulty swallowing, loss of appetite, persistent hoarseness",Oncologist
"palpitations, sweating, chest tightness",Cardiologist
"pcos symptoms, pregnancy nausea, painful periods, period cramps",Gynecologist
"frequent urination, urine infection, urine leakage",Urologist
"dry skin, redness",Dermatologist
"blood in stool, breast lump, abdominal swelling",Oncologist
"night urination, kidney stone pain, urine leakage, burning urination",Urologist
"bloating, nausea, gas",Gastroenterologist
"sore throat, flu, fatigue",General Physician
"child fever, baby vomiting",Pediatrician
"itching, white discharge",Gynecologist
"diarrhea, rash with fever",Pediatrician
"eye pain, itchy eyes, sensitivity to light, night vision problem",Ophthalmologist
"muscle strain, lower back pain radiating, wrist injury",Orthopedic
"pus near gum, bleeding while brushing",Dentist
"mouth ulcer, swollen gums",Dentist
"blood in stool, constipation, food poisoning",Gastroenterologist
"anxiety, depressed mood, addiction, trauma flashbacks",Psychiatrist
"irregular periods, pelvic pain, lower abdominal pain",Gynecologist
"night vision problem, foreign body sensation, swollen eyelid",Ophthalmologist
"runny nose, tonsillitis, ear pain",ENT
"arthritis, joint pain, neck stiffness",Orthopedic
"blocked nose, nose bleeding",ENT
"back pain, shoulder pain",Orthopedic
"reduced urine flow, lower abdominal pain urination",Urologist
"burning urination, night urination",Urologist
"weakness, flu",General Physician
"anger issues, panic attacks, anxiety, stress",Psychiatrist
"mild fever, flu, dizziness",General Physician
"vomiting, diarrhea",Gastroenterologist
"loss of appetite, cold, fever, sore throat",General Physician
"chest pain, sweating, shortness of breath",Cardiologist
"skin allergy, hives, hair fall, fungal infection",Dermatologist
"constipation, gas, bloating",Gastroenterologist
"knee pain, neck stiffness, hip pain",Orthopedic
"chest pain, palpitations",Cardiologist
"difficulty seeing far, sensitivity to light",Ophthalmologist
"numbness, migraine",Neurologist
"unexplained weight loss, persistent bone pain",Oncologist
"back pain, wrist injury",Orthopedic
"mood swings, insomnia, depressed mood, hopelessness",Psychiatrist
"fatigue with breathlessness, leg swelling, shortness of breath",Cardiologist
"fatigue, cough, weakness",General Physician
"watering eyes, eye discharge, double vision",Ophthalmologist
"social anxiety, stress, insomnia",Psychiatrist
"nausea, vomiting, acidity",Gastroenterologist
"dry eyes, sensitivity to light",Ophthalmologist
"overthinking, difficulty concentrating, depressed mood, panic attacks",Psychiatrist
"constipation, blood in stool",Gastroenterologist
"constipation, blood in stool, diarrhea",Gastroenterologist
"dandruff, hair fall, skin rash, psoriasis",Dermatologist
"addiction, anxiety, social anxiety, overthinking",Psychiatrist
"arthritis, sprain, muscle strain",Orthopedic
"dizziness, balance problem, tremor",Neurologist
"irregular periods, painful periods",Gynecologist
"arthritis, back pain, shoulder pain, lower back pain radiating",Orthopedic
"hip pain, difficulty walking, knee pain, neck stiffness",Orthopedic
"night vision problem, eye pain, difficulty seeing far",Ophthalmologist
"acidity, loss of appetite, constipation, gas",Gastroenterologist
"red eye, double vision, eye discharge",Ophthalmologist
"stomach cramps, acidity",Gastroenterologist
"heavy bleeding, white discharge",Gynecologist
"reduced urine flow, burning urination, blood in urine",Urologist
"blocked nose, child cough, child stomach pain",Pediatrician
"redness, eczema, dry skin",Dermatologist
"neck stiffness, arthritis, hip pain",Orthopedic
"child stomach pain, fast breathing, blocked nose",Pediatrician
"addiction, suicidal thoughts, overthinking",Psychiatrist
"testicular swelling, burning urination, kidney stone pain",Urologist
"speech difficulty, tremor, numbness, neck pain radiating",Neurologist
"overthinking, anger issues, suicidal thoughts",Psychiatrist
"wrist injury, shoulder pain, neck stiffness, sprain",Orthopedic
"fatigue, mild fever",General Physician
"speech difficulty, fainting, one sided weakness",Neurologist
"rapid heartbeat, chest pain",Cardiologist
"throat infection, ear discharge, hearing loss",ENT
"fungal infection, hair fall, psoriasis",Dermatologist
"night vision problem, blurred vision, red eye",Ophthalmologist
"double vision, swollen eyelid, foreign body sensation",Ophthalmologist
"left arm pain, chest pain",Cardiologist
"vaccination query, dehydration, diarrhea",Pediatrician
"pressure in chest, palpitations, chest tightness, leg swelling",Cardiologist
"child wheezing, child sore throat, vaccination query",Pediatrician
"difficulty concentrating, overthinking, panic attacks",Psychiatrist
"acidity, stomach cramps, vomiting",Gastroenterologist
"psoriasis, pigmentation, acne",Dermatologist
"persistent cough, night sweats, swollen lymph nodes, persistent hoarseness",Oncologist
"difficulty concentrating, suicidal thoughts, anxiety, depressed mood",Psychiatrist
"knee pain, back pain",Orthopedic
"acidity, nausea, vomiting",Gastroenterologist
"numbness, confusion, severe headache, blurred vision with headache",Neurologist
"ringing in ear, hearing loss, allergic rhinitis",ENT
"sore throat, runny nose, throat infection",ENT
"back pain near kidneys, lower abdominal pain urination",Urologist
"pcos symptoms, lower abdominal pain, vaginal infection, spotting",Gynecologist
"toothache, gum swelling, bleeding gums",Dentist
"itchy eyes, watering eyes",Ophthalmologist
"weakness, fatigue, headache",General Physician
"kidney stone pain, urine infection",Urologist
"baby vomiting, newborn feeding issue",Pediatrician
"broken tooth, swollen gums, mouth ulcer",Dentist
"throat infection, blocked nose, loss of voice",ENT
"pcos symptoms, painful periods, pelvic pain, spotting",Gynecologist
"hives, dry skin",Dermatologist
"urine infection, frequent urination",Urologist
"itchy eyes, eye pain, swollen eyelid",Ophthalmologist
"constipation, acidity",Gastroenterologist
"addiction, hopelessness, overthinking",Psychiatrist
"one sided weakness, neck pain radiating",Neurologist
"watering eyes, eye discharge, sudden vision loss",Ophthalmologist
"burning urination, testicular swelling, frequent urination",Urologist
"redness, boils, dandruff",Dermatologist
"fast breathing, newborn feeding issue, baby vomiting",Pediatrician
"persistent cough, unusual bleeding, persistent bone pain, loss of appetite",Oncologist
"difficulty starting urination, urinary urgency",Urologist
"headache, fever, runny nose",General Physician
"tooth pain with headache, toothache, pus near gum",Dentist
"spotting, lower abdominal pain, painful periods, pregnancy nausea",Gynecologist
"persistent bone pain, night sweats, breast lump",Oncologist
